Account length,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day charge,Total eve minutes,Total eve charge,Total night minutes,Total night calls,Total intl minutes,Total intl calls,Customer service calls
128.0,0.0,1.0,25.0,265.1,45.07,197.4,16.78,244.7,91.0,10.0,3.0,1
107.0,0.0,1.0,26.0,161.6,27.47,195.5,16.62,254.4,103.0,13.7,3.0,1
137.0,0.0,0.0,0.0,243.4,41.38,121.2,10.3,162.6,104.0,12.2,5.0,0
84.0,1.0,0.0,0.0,299.4,50.9,61.9,5.26,196.9,89.0,6.6,7.0,2
75.0,1.0,0.0,0.0,166.7,28.34,148.3,12.61,186.9,121.0,10.1,3.0,3
118.0,1.0,0.0,0.0,223.4,37.98,220.6,18.75,203.9,118.0,6.3,6.0,0
121.0,0.0,1.0,24.0,218.2,37.09,348.5,29.62,212.6,118.0,7.5,7.0,3
147.0,1.0,0.0,0.0,157.0,26.69,103.1,8.76,211.8,96.0,7.1,6.0,0
141.0,1.0,1.0,37.0,258.6,43.96,222.0,18.87,326.4,97.0,11.2,5.0,0
74.0,0.0,0.0,0.0,187.7,31.91,163.4,13.89,196.0,94.0,9.1,5.0,0
168.0,0.0,0.0,0.0,128.8,21.9,104.9,8.92,141.1,128.0,11.2,2.0,1
95.0,0.0,0.0,0.0,156.6,26.62,247.6,21.05,192.3,115.0,12.3,5.0,3
62.0,0.0,0.0,0.0,120.7,20.52,307.2,26.11,203.0,99.0,13.1,6.0,4
85.0,0.0,1.0,27.0,196.4,33.39,280.9,23.88,89.3,75.0,13.8,4.0,1
93.0,0.0,0.0,0.0,190.7,32.42,218.2,18.55,129.6,121.0,8.1,3.0,3
76.0,0.0,1.0,33.0,189.7,32.25,212.8,18.09,165.7,108.0,10.0,5.0,1
73.0,0.0,0.0,0.0,224.4,38.15,159.5,13.56,192.8,74.0,13.0,2.0,1
147.0,0.0,0.0,0.0,155.1,26.37,239.7,20.37,208.8,133.0,10.6,4.0,0
77.0,0.0,0.0,0.0,62.4,10.61,169.9,14.44,209.6,64.0,5.7,6.0,5
130.0,0.0,0.0,0.0,183.0,31.11,72.9,6.2,181.8,78.0,9.5,19.0,0
132.0,0.0,0.0,0.0,81.1,13.79,245.2,20.84,237.0,115.0,10.3,2.0,0
174.0,0.0,0.0,0.0,124.3,21.13,277.1,23.55,250.7,115.0,15.5,5.0,3
57.0,0.0,1.0,39.0,213.0,36.21,191.1,16.24,182.7,115.0,9.5,3.0,0
54.0,0.0,0.0,0.0,134.3,22.83,155.5,13.22,102.1,68.0,14.7,4.0,3
20.0,0.0,0.0,0.0,190.0,32.3,258.2,21.95,181.5,102.0,6.3,6.0,0
