Start_Time,Stop_Time,N_Bikes,Station_Name
2017-01-01 T00:00 Z,2017-01-01 T00:20 Z,0,Pershing Square North
2017-01-01 T00:20 Z,2017-01-01 T00:40 Z,0,Pershing Square North
2017-01-01 T00:40 Z,2017-01-01 T01:00 Z,1,Pershing Square North
2017-01-01 T01:00 Z,2017-01-01 T01:20 Z,0,Pershing Square North
2017-01-01 T01:20 Z,2017-01-01 T01:40 Z,0,Pershing Square North
2017-01-01 T01:40 Z,2017-01-01 T02:00 Z,2,Pershing Square North
2017-01-01 T02:00 Z,2017-01-01 T02:20 Z,0,Pershing Square North
2017-01-01 T02:20 Z,2017-01-01 T02:40 Z,0,Pershing Square North
2017-01-01 T02:40 Z,2017-01-01 T03:00 Z,0,Pershing Square North
2017-01-01 T03:00 Z,2017-01-01 T03:20 Z,0,Pershing Square North
2017-01-01 T03:20 Z,2017-01-01 T03:40 Z,1,Pershing Square North
2017-01-01 T03:40 Z,2017-01-01 T04:00 Z,0,Pershing Square North
2017-01-01 T04:00 Z,2017-01-01 T04:20 Z,0,Pershing Square North
2017-01-01 T04:20 Z,2017-01-01 T04:40 Z,0,Pershing Square North
2017-01-01 T04:40 Z,2017-01-01 T05:00 Z,0,Pershing Square North
2017-01-01 T05:00 Z,2017-01-01 T05:20 Z,0,Pershing Square North
2017-01-01 T05:20 Z,2017-01-01 T05:40 Z,0,Pershing Square North
2017-01-01 T05:40 Z,2017-01-01 T06:00 Z,1,Pershing Square North
2017-01-01 T06:00 Z,2017-01-01 T06:20 Z,0,Pershing Square North
2017-01-01 T06:20 Z,2017-01-01 T06:40 Z,0,Pershing Square North
2017-01-01 T06:40 Z,2017-01-01 T07:00 Z,0,Pershing Square North
2017-01-01 T07:00 Z,2017-01-01 T07:20 Z,0,Pershing Square North
2017-01-01 T07:20 Z,2017-01-01 T07:40 Z,0,Pershing Square North
2017-01-01 T07:40 Z,2017-01-01 T08:00 Z,0,Pershing Square North
2017-01-01 T08:00 Z,2017-01-01 T08:20 Z,1,Pershing Square North
2017-01-01 T08:20 Z,2017-01-01 T08:40 Z,1,Pershing Square North
2017-01-01 T08:40 Z,2017-01-01 T09:00 Z,3,Pershing Square North
2017-01-01 T09:00 Z,2017-01-01 T09:20 Z,3,Pershing Square North
2017-01-01 T09:20 Z,2017-01-01 T09:40 Z,2,Pershing Square North
2017-01-01 T09:40 Z,2017-01-01 T10:00 Z,1,Pershing Square North
2017-01-01 T10:00 Z,2017-01-01 T10:20 Z,0,Pershing Square North
2017-01-01 T10:20 Z,2017-01-01 T10:40 Z,0,Pershing Square North
2017-01-01 T10:40 Z,2017-01-01 T11:00 Z,0,Pershing Square North
2017-01-01 T11:00 Z,2017-01-01 T11:20 Z,1,Pershing Square North
2017-01-01 T11:20 Z,2017-01-01 T11:40 Z,0,Pershing Square North
2017-01-01 T11:40 Z,2017-01-01 T12:00 Z,0,Pershing Square North
2017-01-01 T12:00 Z,2017-01-01 T12:20 Z,1,Pershing Square North
2017-01-01 T12:20 Z,2017-01-01 T12:40 Z,5,Pershing Square North
2017-01-01 T12:40 Z,2017-01-01 T13:00 Z,0,Pershing Square North
2017-01-01 T13:00 Z,2017-01-01 T13:20 Z,7,Pershing Square North
2017-01-01 T13:20 Z,2017-01-01 T13:40 Z,0,Pershing Square North
2017-01-01 T13:40 Z,2017-01-01 T14:00 Z,2,Pershing Square North
2017-01-01 T14:00 Z,2017-01-01 T14:20 Z,1,Pershing Square North
2017-01-01 T14:20 Z,2017-01-01 T14:40 Z,3,Pershing Square North
2017-01-01 T14:40 Z,2017-01-01 T15:00 Z,3,Pershing Square North
2017-01-01 T15:00 Z,2017-01-01 T15:20 Z,0,Pershing Square North
2017-01-01 T15:20 Z,2017-01-01 T15:40 Z,3,Pershing Square North
2017-01-01 T15:40 Z,2017-01-01 T16:00 Z,2,Pershing Square North
2017-01-01 T16:00 Z,2017-01-01 T16:20 Z,1,Pershing Square North
2017-01-01 T16:20 Z,2017-01-01 T16:40 Z,0,Pershing Square North
2017-01-01 T16:40 Z,2017-01-01 T17:00 Z,6,Pershing Square North
2017-01-01 T17:00 Z,2017-01-01 T17:20 Z,3,Pershing Square North
2017-01-01 T17:20 Z,2017-01-01 T17:40 Z,0,Pershing Square North
2017-01-01 T17:40 Z,2017-01-01 T18:00 Z,2,Pershing Square North
2017-01-01 T18:00 Z,2017-01-01 T18:20 Z,1,Pershing Square North
2017-01-01 T18:20 Z,2017-01-01 T18:40 Z,1,Pershing Square North
